codigo_barra,nombre,categoria,ubicacion,precio_venta,unidad_medida,stock_actual,stock_minimo,tiene_codigo_barra
,BLOQUE DE CONCRETO 1/2 REF 183,Construcción,Área abierta / patio de materiales,0.63,Unidad,94.81,16.73,0
,GRAVA TRITURADA POR 16 REF 184,Construcción,Área abierta / patio de materiales,24.78,Metro³,98.13,28.14,0
ELO010195,CEMENTO GRIS TIPO GU 60 KG REF 185,Construcción,Mostrador / sala de ventas,10.6,Saco,117.23,16.87,1
,BLOQUE DE CONCRETO 10 REF 186,Construcción,Área abierta / patio de materiales,0.83,Unidad,69.38,12.12,0
ELO010197,CEMENTO GRIS TIPO GU 3/8 KG REF 187,Construcción,Mostrador / sala de ventas,11.07,Saco,99.18,22.05,1
ELO010198,HIERRO CORRUGADO 5/16 PULG GRADO 40 REF 188,Construcción,Área abierta / patio de materiales,2.56,Varilla,113.08,31.35,1
,GRAVA TRITURADA POR 5/16 REF 189,Construcción,Área abierta / patio de materiales,29.91,Metro³,9.69,2.55,0
,BLOQUE DE CONCRETO 40 REF 190,Construcción,Área abierta / patio de materiales,0.65,Unidad,141.29,38.98,0
,ARENA LAVADA POR 2 REF 191,Construcción,Área abierta / patio de materiales,25.6,Metro³,76.13,12.03,0
,GRAVA TRITURADA POR 10 REF 192,Construcción,Área abierta / patio de materiales,28.01,Metro³,41.92,14.65,0
ELO010203,CEMENTO GRIS TIPO GU 50 KG REF 193,Construcción,Mostrador / sala de ventas,11.15,Saco,113.55,33.39,1
ELO010204,HIERRO CORRUGADO 1 PULG GRADO 40 REF 194,Construcción,Área abierta / patio de materiales,5.97,Varilla,142.78,47.45,1
,BLOQUE DE CONCRETO 14 REF 195,Construcción,Área abierta / patio de materiales,0.64,Unidad,97.95,19.9,0
ELO010206,POLÍN GALVANIZADO 2 MM REF 196,Construcción,Área abierta / patio de materiales,25.39,Unidad,29.93,10.29,1
,BLOQUE DE CONCRETO 20 REF 197,Construcción,Área abierta / patio de materiales,0.92,Unidad,141.64,18.48,0
,GRAVA TRITURADA POR 2 REF 198,Construcción,Área abierta / patio de materiales,25.63,Metro³,46.05,11.64,0
ELO010209,POLÍN GALVANIZADO 12 MM,Construcción,Área abierta / patio de materiales,16.66,Unidad,45.71,12.29,1
,ARENA LAVADA POR 1/2 REF 200,Construcción,Área abierta / patio de materiales,27.42,Metro³,117.89,38.35,0
ELO010211,POLÍN GALVANIZADO 10 MM,Construcción,Área abierta / patio de materiales,18.39,Unidad,53.7,10.35,1
,GRAVA TRITURADA POR 3/8,Construcción,Área abierta / patio de materiales,23.25,Metro³,144.77,46.0,0
,BLOQUE DE CONCRETO 3/8 REF 203,Construcción,Área abierta / patio de materiales,0.72,Unidad,54.76,8.9,0
,BLOQUE DE CONCRETO 10 REF 204,Construcción,Área abierta / patio de materiales,0.93,Unidad,90.75,23.45,0
ELO010215,POLÍN GALVANIZADO 20 MM REF 205,Construcción,Área abierta / patio de materiales,16.52,Unidad,28.13,6.83,1
ELO010216,CEMENTO GRIS TIPO GU 30 KG REF 206,Construcción,Mostrador / sala de ventas,8.74,Saco,123.73,19.09,1
ELO010217,LÁMINA GALVANIZADA CALIBRE 25,Construcción,Área abierta / patio de materiales,28.11,Unidad,98.34,27.97,1
,GRAVA TRITURADA POR 3/8 REF 208,Construcción,Área abierta / patio de materiales,29.94,Metro³,140.88,24.77,0
,ARENA LAVADA POR 1/2 REF 209,Construcción,Área abierta / patio de materiales,24.76,Metro³,46.23,10.1,0
ELO010220,HIERRO CORRUGADO 3/4 PULG GRADO 40 REF 210,Construcción,Área abierta / patio de materiales,2.55,Varilla,50.71,11.52,1
,BLOQUE DE CONCRETO 16 REF 211,Construcción,Área abierta / patio de materiales,0.9,Unidad,41.16,10.8,0
,BLOQUE DE CONCRETO 1 REF 212,Construcción,Área abierta / patio de materiales,0.62,Unidad,23.21,7.09,0
,ARENA LAVADA POR 3/4 REF 213,Construcción,Área abierta / patio de materiales,21.53,Metro³,146.25,36.43,0
,GRAVA TRITURADA POR 40 REF 214,Construcción,Área abierta / patio de materiales,26.4,Metro³,109.96,21.36,0
ELO010225,HIERRO CORRUGADO 3/4 PULG GRADO 40 REF 215,Construcción,Área abierta / patio de materiales,4.6,Varilla,87.8,29.21,1
,ARENA LAVADA POR 25 REF 216,Construcción,Área abierta / patio de materiales,26.95,Metro³,118.84,14.83,0
,GRAVA TRITURADA POR 14 REF 217,Construcción,Área abierta / patio de materiales,25.92,Metro³,51.69,13.38,0
ELO010228,HIERRO CORRUGADO 5/16 PULG GRADO 40 REF 218,Construcción,Área abierta / patio de materiales,2.66,Varilla,90.7,15.02,1
,ARENA LAVADA POR 30 REF 219,Construcción,Área abierta / patio de materiales,25.14,Metro³,80.55,10.1,0
ELO010230,POLÍN GALVANIZADO 2 MM REF 220,Construcción,Área abierta / patio de materiales,13.85,Unidad,2.61,1,1
,BLOQUE DE CONCRETO 25 REF 221,Construcción,Área abierta / patio de materiales,0.89,Unidad,95.23,23.6,0
,BLOQUE DE CONCRETO 50 REF 222,Construcción,Área abierta / patio de materiales,0.6,Unidad,71.4,10.02,0
ELO010233,CEMENTO GRIS TIPO GU 20 KG REF 223,Construcción,Mostrador / sala de ventas,10.67,Saco,132.74,44.05,1
ELO010234,LÁMINA GALVANIZADA CALIBRE 12 REF 224,Construcción,Área abierta / patio de materiales,35.76,Unidad,93.94,23.43,1
ELO010235,CEMENTO GRIS TIPO GU 3/8 KG REF 225,Construcción,Mostrador / sala de ventas,10.37,Saco,58.01,13.6,1
ELO010236,CEMENTO GRIS TIPO GU 50 KG REF 226,Construcción,Mostrador / sala de ventas,11.45,Saco,112.19,14.15,1
,ARENA LAVADA POR 60 REF 227,Construcción,Área abierta / patio de materiales,25.21,Metro³,23.49,5.8,0
ELO010238,LÁMINA GALVANIZADA CALIBRE 10 REF 228,Construcción,Área abierta / patio de materiales,17.83,Unidad,149.84,32.4,1
,BLOQUE DE CONCRETO 1 1/2 REF 229,Construcción,Área abierta / patio de materiales,0.88,Unidad,136.89,44.59,0
ELO010240,POLÍN GALVANIZADO 1/2 MM REF 230,Construcción,Área abierta / patio de materiales,16.02,Unidad,67.82,23.52,1
,ARENA LAVADA POR 16 REF 231,Construcción,Área abierta / patio de materiales,24.85,Metro³,129.74,20.76,0
ELO010242,HIERRO CORRUGADO 14 PULG GRADO 40 REF 232,Construcción,Área abierta / patio de materiales,4.72,Varilla,92.12,12.08,1
,BLOQUE DE CONCRETO 1/4 REF 233,Construcción,Área abierta / patio de materiales,0.73,Unidad,119.59,32.91,0
ELO010244,POLÍN GALVANIZADO 3/4 MM REF 234,Construcción,Área abierta / patio de materiales,15.72,Unidad,4.21,1.1,1
,BLOQUE DE CONCRETO 14 REF 235,Construcción,Área abierta / patio de materiales,0.86,Unidad,42.99,13.47,0
,ARENA LAVADA POR 5/16 REF 236,Construcción,Área abierta / patio de materiales,23.57,Metro³,68.73,9.97,0
ELO010247,CEMENTO GRIS TIPO GU 20 KG REF 237,Construcción,Mostrador / sala de ventas,10.47,Saco,49.7,13.92,1
ELO010248,POLÍN GALVANIZADO 10 MM REF 238,Construcción,Área abierta / patio de materiales,23.27,Unidad,80.58,12.91,1
,ARENA LAVADA POR 1/2 REF 239,Construcción,Área abierta / patio de materiales,23.04,Metro³,73.34,21.76,0
ELO010250,HIERRO CORRUGADO 5/16 PULG GRADO 40 REF 240,Construcción,Área abierta / patio de materiales,2.67,Varilla,47.31,9.87,1
ELO010251,HIERRO CORRUGADO 2 PULG GRADO 40 REF 241,Construcción,Área abierta / patio de materiales,6.14,Varilla,63.18,22.09,1
ELO010252,HIERRO CORRUGADO 40 PULG GRADO 40 REF 242,Construcción,Área abierta / patio de materiales,5.38,Varilla,53.55,18.38,1
,BLOQUE DE CONCRETO 3/4 REF 243,Construcción,Área abierta / patio de materiales,0.77,Unidad,134.61,31.17,0
ELO010254,CEMENTO GRIS TIPO GU 30 KG REF 244,Construcción,Mostrador / sala de ventas,11.08,Saco,14.14,2.39,1
ELO010255,POLÍN GALVANIZADO 20 MM REF 245,Construcción,Área abierta / patio de materiales,21.22,Unidad,149.24,45.74,1
ELO010256,HIERRO CORRUGADO 60 PULG GRADO 40 REF 246,Construcción,Área abierta / patio de materiales,2.6,Varilla,90.61,11.88,1
ELO010257,LÁMINA GALVANIZADA CALIBRE 14 REF 247,Construcción,Área abierta / patio de materiales,32.14,Unidad,104.48,23.0,1
,ARENA LAVADA POR 1 REF 248,Construcción,Área abierta / patio de materiales,20.98,Metro³,62.59,17.87,0
ELO010259,LÁMINA GALVANIZADA CALIBRE 1/2 REF 249,Construcción,Área abierta / patio de materiales,26.45,Unidad,59.21,12.76,1
,BLOQUE DE CONCRETO 5/16,Construcción,Área abierta / patio de materiales,0.67,Unidad,128.35,26.22,0
ELO020009,TEE PVC 3/4,Fontanería,Bodega pequeña / interna,1.42,Unidad,98.56,19.58,1
ELO020010,MANGUERA PLÁSTICA 1 1/2,Fontanería,Bodega pequeña / interna,0.94,Metro,105.46,19.67,1
ELO020011,UNIÓN PVC LISA 3/8,Fontanería,Bodega pequeña / interna,0.27,Unidad,10.46,2.89,1
ELO020012,LLAVE DE CHORRO 14,Fontanería,Bodega pequeña / interna,2.45,Unidad,146.82,49.31,1
ELO020013,MANGUERA PLÁSTICA 3/8,Fontanería,Bodega pequeña / interna,0.86,Metro,141.79,26.9,1
ELO020014,LLAVE DE CHORRO 25,Fontanería,Bodega pequeña / interna,7.35,Unidad,77.56,22.6,1
ELO020015,MANGUERA PLÁSTICA 2,Fontanería,Bodega pequeña / interna,2.42,Metro,110.89,19.15,1
ELO020016,MANGUERA PLÁSTICA 16,Fontanería,Bodega pequeña / interna,1.65,Metro,97.37,17.08,1
ELO020017,TEE PVC 20,Fontanería,Bodega pequeña / interna,1.53,Unidad,60.12,8.78,1
ELO020018,LLAVE DE CHORRO 1/4,Fontanería,Bodega pequeña / interna,6.12,Unidad,25.48,8.12,1
ELO020019,CODO PVC 12,Fontanería,Bodega pequeña / interna,0.27,Unidad,79.65,24.83,1
ELO020020,TEE PVC 5/16,Fontanería,Bodega pequeña / interna,1.55,Unidad,127.32,28.83,1
ELO020021,TEE PVC 60,Fontanería,Bodega pequeña / interna,0.62,Unidad,98.73,18.22,1
ELO020022,CODO PVC 12 REF 014,Fontanería,Bodega pequeña / interna,0.65,Unidad,126.7,28.75,1
ELO020023,MANGUERA PLÁSTICA 16 REF 015,Fontanería,Bodega pequeña / interna,2.1,Metro,40.79,6.53,1
ELO020024,LLAVE DE CHORRO 1/2,Fontanería,Bodega pequeña / interna,8.37,Unidad,10.89,1.59,1
ELO020025,TEE PVC 10,Fontanería,Bodega pequeña / interna,0.9,Unidad,138.61,47.64,1
ELO020026,MANGUERA PLÁSTICA 1 1/2 REF 018,Fontanería,Bodega pequeña / interna,2.08,Metro,39.53,8.34,1
ELO020027,LLAVE DE CHORRO 16,Fontanería,Bodega pequeña / interna,4.64,Unidad,54.16,7.91,1
ELO020028,CODO PVC 1,Fontanería,Bodega pequeña / interna,1.6,Unidad,71.93,10.14,1
ELO020029,TEE PVC 20 REF 021,Fontanería,Bodega pequeña / interna,1.05,Unidad,37.11,11.72,1
ELO020030,UNIÓN PVC LISA 1/4,Fontanería,Bodega pequeña / interna,1.39,Unidad,109.0,25.51,1
ELO020031,TEE PVC 50,Fontanería,Bodega pequeña / interna,1.2,Unidad,61.37,20.44,1
ELO020032,LLAVE DE CHORRO 12,Fontanería,Bodega pequeña / interna,5.9,Unidad,47.45,10.66,1
ELO020033,MANGUERA PLÁSTICA 2 REF 025,Fontanería,Bodega pequeña / interna,0.83,Metro,27.04,5.45,1
ELO020034,UNIÓN PVC LISA 40,Fontanería,Bodega pequeña / interna,1.42,Unidad,105.01,14.39,1
ELO020035,MANGUERA PLÁSTICA 2 REF 027,Fontanería,Bodega pequeña / interna,1.71,Metro,20.77,2.95,1
ELO020036,CODO PVC 10,Fontanería,Bodega pequeña / interna,0.77,Unidad,16.27,2.27,1
ELO020037,TEE PVC 1,Fontanería,Bodega pequeña / interna,0.91,Unidad,31.24,4.15,1
ELO020038,LLAVE DE CHORRO 50,Fontanería,Bodega pequeña / interna,3.46,Unidad,33.68,5.8,1
ELO020039,TUBO PVC PRESIÓN 3/8,Fontanería,Bodega pequeña / interna,6.14,Unidad,68.24,18.98,1
ELO020040,MANGUERA PLÁSTICA 5/16,Fontanería,Bodega pequeña / interna,1.44,Metro,118.72,31.69,1
ELO020041,UNIÓN PVC LISA 1 1/2,Fontanería,Bodega pequeña / interna,0.63,Unidad,86.18,13.92,1
ELO020042,TEE PVC 2,Fontanería,Bodega pequeña / interna,1.23,Unidad,51.56,14.58,1
ELO020043,CODO PVC 5/16,Fontanería,Bodega pequeña / interna,0.79,Unidad,136.92,36.1,1
ELO020044,TUBO PVC PRESIÓN 60,Fontanería,Bodega pequeña / interna,7.18,Unidad,114.6,29.96,1
ELO020045,MANGUERA PLÁSTICA 1,Fontanería,Bodega pequeña / interna,2.49,Metro,71.95,17.98,1
ELO020046,LLAVE DE CHORRO 40,Fontanería,Bodega pequeña / interna,7.21,Unidad,35.07,11.78,1
ELO020047,LLAVE DE CHORRO 14 REF 039,Fontanería,Bodega pequeña / interna,7.06,Unidad,89.27,21.51,1
ELO020048,CODO PVC 60,Fontanería,Bodega pequeña / interna,0.68,Unidad,91.14,17.25,1
ELO020049,CODO PVC 5/16 REF 041,Fontanería,Bodega pequeña / interna,0.74,Unidad,60.0,15.14,1
ELO020050,MANGUERA PLÁSTICA 2 REF 042,Fontanería,Bodega pequeña / interna,1.83,Metro,50.92,16.2,1
ELO020051,TUBO PVC PRESIÓN 5/16,Fontanería,Bodega pequeña / interna,6.4,Unidad,91.34,23.17,1
ELO020052,TUBO PVC PRESIÓN 30,Fontanería,Bodega pequeña / interna,7.71,Unidad,6.08,1.8,1
ELO020053,TUBO PVC PRESIÓN 16,Fontanería,Bodega pequeña / interna,9.07,Unidad,37.66,6.01,1
ELO020054,UNIÓN PVC LISA 16,Fontanería,Bodega pequeña / interna,1.03,Unidad,67.91,16.76,1
ELO020055,MANGUERA PLÁSTICA 3/8 REF 047,Fontanería,Bodega pequeña / interna,2.2,Metro,107.62,37.28,1
ELO020056,MANGUERA PLÁSTICA 10,Fontanería,Bodega pequeña / interna,1.57,Metro,112.07,13.87,1
ELO020057,UNIÓN PVC LISA 1/4 REF 049,Fontanería,Bodega pequeña / interna,0.97,Unidad,107.11,31.32,1
ELO020058,LLAVE DE CHORRO 50 REF 050,Fontanería,Bodega pequeña / interna,5.57,Unidad,41.46,12.06,1
ELO020059,TEE PVC 14,Fontanería,Bodega pequeña / interna,1.54,Unidad,31.0,4.74,1
ELO020060,MANGUERA PLÁSTICA 40,Fontanería,Bodega pequeña / interna,0.89,Metro,71.77,21.05,1
ELO020061,CODO PVC 10 REF 053,Fontanería,Bodega pequeña / interna,1.7,Unidad,19.66,5.58,1
ELO020062,MANGUERA PLÁSTICA 20,Fontanería,Bodega pequeña / interna,1.56,Metro,52.13,13.68,1
ELO020063,TEE PVC 10 REF 055,Fontanería,Bodega pequeña / interna,1.79,Unidad,140.88,38.71,1
ELO020064,TUBO PVC PRESIÓN 12,Fontanería,Bodega pequeña / interna,4.9,Unidad,18.6,5.84,1
ELO020065,TEE PVC 40,Fontanería,Bodega pequeña / interna,1.84,Unidad,117.95,28.03,1
ELO020066,TUBO PVC PRESIÓN 1,Fontanería,Bodega pequeña / interna,10.19,Unidad,49.95,7.25,1
ELO020067,TEE PVC 50 REF 059,Fontanería,Bodega pequeña / interna,1.25,Unidad,3.1,1,1
ELO020068,TEE PVC 16,Fontanería,Bodega pequeña / interna,0.96,Unidad,63.69,10.4,1
ELO020069,LLAVE DE CHORRO 1/4 REF 061,Fontanería,Bodega pequeña / interna,4.08,Unidad,55.68,19.28,1
ELO020070,LLAVE DE CHORRO 25 REF 062,Fontanería,Bodega pequeña / interna,5.24,Unidad,127.17,34.15,1
ELO020071,CODO PVC 2,Fontanería,Bodega pequeña / interna,0.72,Unidad,42.42,13.78,1
ELO020072,UNIÓN PVC LISA 10,Fontanería,Bodega pequeña / interna,1.16,Unidad,90.7,24.28,1
ELO020073,UNIÓN PVC LISA 3/8 REF 065,Fontanería,Bodega pequeña / interna,0.83,Unidad,145.42,34.97,1
ELO020074,TUBO PVC PRESIÓN 12 REF 066,Fontanería,Bodega pequeña / interna,5.69,Unidad,54.15,10.47,1
ELO020075,CODO PVC 60 REF 067,Fontanería,Bodega pequeña / interna,0.7,Unidad,56.13,12.62,1
ELO020076,UNIÓN PVC LISA 50,Fontanería,Bodega pequeña / interna,1.34,Unidad,13.97,4.15,1
ELO020077,TUBO PVC PRESIÓN 12 REF 069,Fontanería,Bodega pequeña / interna,8.09,Unidad,146.29,22.83,1
ELO020078,UNIÓN PVC LISA 30,Fontanería,Bodega pequeña / interna,0.94,Unidad,77.02,26.69,1
ELO020079,CODO PVC 10 REF 071,Fontanería,Bodega pequeña / interna,1.23,Unidad,113.37,26.5,1
ELO020080,TUBO PVC PRESIÓN 16 REF 072,Fontanería,Bodega pequeña / interna,7.79,Unidad,80.36,27.05,1
ELO020081,CODO PVC 2 REF 073,Fontanería,Bodega pequeña / interna,0.73,Unidad,58.86,17.6,1
ELO020082,TUBO PVC PRESIÓN 10,Fontanería,Bodega pequeña / interna,5.35,Unidad,106.99,20.82,1
ELO020083,LLAVE DE CHORRO 3/4,Fontanería,Bodega pequeña / interna,7.05,Unidad,67.66,12.76,1
ELO020084,TUBO PVC PRESIÓN 60 REF 076,Fontanería,Bodega pequeña / interna,5.97,Unidad,73.77,16.79,1
ELO020085,UNIÓN PVC LISA 14,Fontanería,Bodega pequeña / interna,0.24,Unidad,64.15,12.32,1
ELO020086,CODO PVC 50,Fontanería,Bodega pequeña / interna,0.82,Unidad,15.18,3.41,1
ELO020087,LLAVE DE CHORRO 14 REF 079,Fontanería,Bodega pequeña / interna,7.1,Unidad,9.12,2.46,1
ELO020088,MANGUERA PLÁSTICA 10 REF 080,Fontanería,Bodega pequeña / interna,0.68,Metro,121.61,16.04,1
ELO020089,TUBO PVC PRESIÓN 5/16 REF 081,Fontanería,Bodega pequeña / interna,4.35,Unidad,31.94,8.53,1
ELO020090,TEE PVC 60 REF 082,Fontanería,Bodega pequeña / interna,1.48,Unidad,139.07,17.56,1
ELO020091,UNIÓN PVC LISA 1/2 REF 083,Fontanería,Bodega pequeña / interna,1.15,Unidad,44.63,8.83,1
ELO020092,LLAVE DE CHORRO 1,Fontanería,Bodega pequeña / interna,7.65,Unidad,122.6,33.58,1
ELO020093,UNIÓN PVC LISA 12,Fontanería,Bodega pequeña / interna,1.01,Unidad,64.73,21.67,1
ELO020094,UNIÓN PVC LISA 25,Fontanería,Bodega pequeña / interna,0.17,Unidad,23.24,3.39,1
ELO020095,TEE PVC 30,Fontanería,Bodega pequeña / interna,0.8,Unidad,36.79,6.46,1
ELO020096,CODO PVC 30,Fontanería,Bodega pequeña / interna,0.99,Unidad,46.46,14.09,1
ELO020097,CODO PVC 5/16 REF 089,Fontanería,Bodega pequeña / interna,1.1,Unidad,118.43,37.11,1
ELO020098,CODO PVC 1/2 REF 090,Fontanería,Bodega pequeña / interna,1.57,Unidad,86.28,18.97,1
ELO020099,TEE PVC 1/2,Fontanería,Bodega pequeña / interna,1.81,Unidad,44.11,12.13,1
ELO020100,UNIÓN PVC LISA 60,Fontanería,Bodega pequeña / interna,1.35,Unidad,54.3,10.13,1
ELO020101,LLAVE DE CHORRO 3/4 REF 093,Fontanería,Bodega pequeña / interna,5.36,Unidad,93.6,20.61,1
ELO020102,CODO PVC 3/4,Fontanería,Bodega pequeña / interna,0.99,Unidad,16.42,3.12,1
ELO020103,TUBO PVC PRESIÓN 60 REF 095,Fontanería,Bodega pequeña / interna,3.43,Unidad,22.43,2.81,1
ELO020104,CODO PVC 50 REF 096,Fontanería,Bodega pequeña / interna,1.78,Unidad,58.4,7.26,1
ELO020105,MANGUERA PLÁSTICA 3/4,Fontanería,Bodega pequeña / interna,1.49,Metro,40.82,8.56,1
ELO020106,MANGUERA PLÁSTICA 3/8 REF 098,Fontanería,Bodega pequeña / interna,0.48,Metro,122.74,37.38,1
ELO020107,CODO PVC 1/4,Fontanería,Bodega pequeña / interna,0.38,Unidad,49.87,6.46,1
ELO020108,LLAVE DE CHORRO 1 1/2,Fontanería,Bodega pequeña / interna,6.31,Unidad,136.39,28.58,1
ELO020109,TUBO PVC PRESIÓN 3/8 REF 101,Fontanería,Bodega pequeña / interna,10.19,Unidad,125.07,29.88,1
ELO020110,MANGUERA PLÁSTICA 20 REF 102,Fontanería,Bodega pequeña / interna,1.3,Metro,110.13,26.98,1
ELO020111,CODO PVC 60 REF 103,Fontanería,Bodega pequeña / interna,0.5,Unidad,146.82,44.61,1
ELO020112,TUBO PVC PRESIÓN 3/8 REF 104,Fontanería,Bodega pequeña / interna,8.96,Unidad,103.37,14.78,1
ELO020113,MANGUERA PLÁSTICA 1 1/2 REF 105,Fontanería,Bodega pequeña / interna,1.05,Metro,78.61,24.95,1
ELO020114,MANGUERA PLÁSTICA 50,Fontanería,Bodega pequeña / interna,0.97,Metro,72.47,24.02,1
ELO020115,LLAVE DE CHORRO 2,Fontanería,Bodega pequeña / interna,3.61,Unidad,89.17,28.64,1
ELO020116,LLAVE DE CHORRO 60,Fontanería,Bodega pequeña / interna,6.36,Unidad,80.65,13.99,1
ELO020117,LLAVE DE CHORRO 12 REF 109,Fontanería,Bodega pequeña / interna,2.83,Unidad,40.55,11.46,1
ELO020118,MANGUERA PLÁSTICA 25,Fontanería,Bodega pequeña / interna,0.76,Metro,68.57,9.2,1
ELO020119,CODO PVC 20,Fontanería,Bodega pequeña / interna,0.92,Unidad,36.04,9.74,1
ELO020120,UNIÓN PVC LISA 1,Fontanería,Bodega pequeña / interna,0.42,Unidad,10.21,2.48,1
ELO020121,LLAVE DE CHORRO 1/2 REF 113,Fontanería,Bodega pequeña / interna,8.36,Unidad,52.35,10.58,1
ELO020122,UNIÓN PVC LISA 20,Fontanería,Bodega pequeña / interna,0.52,Unidad,77.08,26.04,1
ELO020123,TEE PVC 60 REF 115,Fontanería,Bodega pequeña / interna,1.25,Unidad,79.36,19.63,1
ELO020124,LLAVE DE CHORRO 10,Fontanería,Bodega pequeña / interna,7.41,Unidad,37.12,5.94,1
ELO020125,TEE PVC 1 REF 117,Fontanería,Bodega pequeña / interna,0.61,Unidad,49.29,11.19,1
ELO020126,LLAVE DE CHORRO 1/2 REF 118,Fontanería,Bodega pequeña / interna,4.55,Unidad,68.24,15.22,1
ELO020127,CODO PVC 30 REF 119,Fontanería,Bodega pequeña / interna,0.47,Unidad,134.16,18.89,1
ELO020128,UNIÓN PVC LISA 2,Fontanería,Bodega pequeña / interna,0.87,Unidad,18.85,2.63,1
ELO020129,TUBO PVC PRESIÓN 2,Fontanería,Bodega pequeña / interna,11.9,Unidad,2.49,1,1
ELO020130,TUBO PVC PRESIÓN 60 REF 122,Fontanería,Bodega pequeña / interna,4.42,Unidad,119.76,19.35,1
ELO020131,MANGUERA PLÁSTICA 14,Fontanería,Bodega pequeña / interna,2.28,Metro,108.09,14.35,1
ELO020132,LLAVE DE CHORRO 40 REF 124,Fontanería,Bodega pequeña / interna,4.6,Unidad,12.23,3.34,1
ELO020133,TEE PVC 1 REF 125,Fontanería,Bodega pequeña / interna,1.99,Unidad,122.59,24.04,1
ELO020134,CODO PVC 1 1/2,Fontanería,Bodega pequeña / interna,0.39,Unidad,77.52,23.32,1
ELO020135,TUBO PVC PRESIÓN 1 REF 127,Fontanería,Bodega pequeña / interna,11.26,Unidad,105.92,27.67,1
ELO020136,CODO PVC 20 REF 128,Fontanería,Bodega pequeña / interna,1.53,Unidad,81.76,21.12,1
ELO020137,MANGUERA PLÁSTICA 25 REF 129,Fontanería,Bodega pequeña / interna,1.56,Metro,69.56,15.83,1
ELO030006,BOMBILLO LED 14 W,Electricidad,Área abierta / patio de materiales,3.88,Unidad,107.68,17.19,1
ELO030007,CABLE ELÉCTRICO THHN 16,Electricidad,Área abierta / patio de materiales,3.68,Metro,60.47,16.49,1
ELO030008,TOMACORRIENTE POLARIZADO 16,Electricidad,Área abierta / patio de materiales,2.67,Unidad,15.48,5.22,1
ELO030009,BOMBILLO LED 10 W,Electricidad,Área abierta / patio de materiales,3.16,Unidad,33.79,7.52,1
ELO030010,TOMACORRIENTE POLARIZADO 50,Electricidad,Área abierta / patio de materiales,2.44,Unidad,84.38,16.1,1
ELO030011,BOMBILLO LED 40 W,Electricidad,Área abierta / patio de materiales,4.79,Unidad,29.25,7.17,1
ELO030012,CINTA AISLANTE 60,Electricidad,Área abierta / patio de materiales,2.35,Unidad,146.97,41.71,1
ELO030013,TOMACORRIENTE POLARIZADO 20,Electricidad,Área abierta / patio de materiales,2.32,Unidad,122.92,36.61,1
ELO030014,CAJA OCTAGONAL ELÉCTRICA 3/8,Electricidad,Área abierta / patio de materiales,1.72,Unidad,134.64,23.54,1
ELO030015,BOMBILLO LED 40 W REF 010,Electricidad,Área abierta / patio de materiales,6.15,Unidad,14.48,1.8,1
ELO030016,INTERRUPTOR SENCILLO 20,Electricidad,Área abierta / patio de materiales,1.87,Unidad,148.03,47.05,1
ELO030017,CAJA OCTAGONAL ELÉCTRICA 30,Electricidad,Área abierta / patio de materiales,1.95,Unidad,143.18,35.04,1
ELO030018,BOMBILLO LED 16 W,Electricidad,Área abierta / patio de materiales,5.2,Unidad,127.22,26.14,1
ELO030019,INTERRUPTOR SENCILLO 16,Electricidad,Área abierta / patio de materiales,2.67,Unidad,89.99,30.62,1
ELO030020,CINTA AISLANTE 30,Electricidad,Área abierta / patio de materiales,1.29,Unidad,33.55,8.83,1
ELO030021,CINTA AISLANTE 1/4,Electricidad,Área abierta / patio de materiales,2.15,Unidad,110.34,28.12,1
ELO030022,CABLE ELÉCTRICO THHN 25,Electricidad,Área abierta / patio de materiales,0.49,Metro,5.27,1.59,1
ELO030023,CINTA AISLANTE 2,Electricidad,Área abierta / patio de materiales,1.59,Unidad,74.95,16.06,1
ELO030024,BOMBILLO LED 3/8 W,Electricidad,Área abierta / patio de materiales,1.3,Unidad,104.01,19.39,1
ELO030025,TOMACORRIENTE POLARIZADO 50 REF 020,Electricidad,Área abierta / patio de materiales,2.74,Unidad,80.57,15.84,1
ELO030026,CABLE ELÉCTRICO THHN 1,Electricidad,Área abierta / patio de materiales,2.49,Metro,57.69,15.69,1
ELO030027,CABLE ELÉCTRICO THHN 12,Electricidad,Área abierta / patio de materiales,3.1,Metro,43.48,10.49,1
ELO030028,CAJA OCTAGONAL ELÉCTRICA 1/4,Electricidad,Área abierta / patio de materiales,1.92,Unidad,112.17,19.33,1
ELO030029,TOMACORRIENTE POLARIZADO 14,Electricidad,Área abierta / patio de materiales,3.82,Unidad,50.9,17.56,1
ELO030030,BOMBILLO LED 60 W,Electricidad,Área abierta / patio de materiales,2.07,Unidad,6.7,1.68,1
ELO030031,CAJA OCTAGONAL ELÉCTRICA 3/4,Electricidad,Área abierta / patio de materiales,1.88,Unidad,6.27,1.2,1
ELO030032,CAJA OCTAGONAL ELÉCTRICA 1 1/2,Electricidad,Área abierta / patio de materiales,1.82,Unidad,15.91,5.14,1
ELO030033,INTERRUPTOR SENCILLO 2,Electricidad,Área abierta / patio de materiales,2.57,Unidad,114.68,28.5,1
ELO030034,INTERRUPTOR SENCILLO 40,Electricidad,Área abierta / patio de materiales,1.74,Unidad,76.05,22.45,1
ELO030035,CABLE ELÉCTRICO THHN 30,Electricidad,Área abierta / patio de materiales,0.37,Metro,65.78,11.66,1
ELO030036,TOMACORRIENTE POLARIZADO 10,Electricidad,Área abierta / patio de materiales,3.15,Unidad,123.96,17.85,1
